forward_or_backward,loss,grad_norm,step
b,42.76456832885742,0.0,5050
b,32.27499008178711,0.0,5100
b,15.458602905273438,0.0,5150
b,11.08399772644043,0.0,5200
b,6.638949394226074,0.0,5250
b,3.363677740097046,0.0,5300
b,1.110784649848938,0.0,5350
b,0.21559244394302368,0.0,5400
b,0.12318369746208191,0.0,5450
b,0.11511486768722534,0.0,5500
b,0.09919413924217224,0.0,5550
b,0.09398925304412842,0.0,5600
b,0.07158026099205017,0.0,5650
b,0.07842550426721573,0.0,5700
b,0.10151685029268265,0.0,5750
b,0.05045677721500397,0.0,5800
b,0.06519899517297745,0.0,5850
b,0.05737931653857231,0.0,5900
b,0.0639677494764328,0.0,5950
b,0.053052566945552826,0.0,6000
b,0.05478875711560249,0.0,6050
b,0.03066648356616497,0.0,6100
b,0.04284884035587311,0.0,6150
b,0.03915304318070412,0.0,6200
b,0.045913584530353546,0.0,6250
b,0.028922393918037415,0.0,6300
b,0.03080179914832115,0.0,6350
b,0.03897721692919731,0.0,6400
b,0.029915906488895416,0.0,6450
b,0.027735287323594093,0.0,6500
b,0.02826116979122162,0.0,6550
b,0.03037879802286625,0.0,6600
b,0.03167514503002167,0.0,6650
b,0.033606670796871185,0.0,6700
b,0.031662650406360626,0.0,6750
b,0.028746100142598152,0.0,6800
b,0.029573239386081696,0.0,6850
b,0.021852675825357437,0.0,6900
b,0.024568717926740646,0.0,6950
b,0.02388058230280876,0.0,7000
b,0.023453999310731888,0.0,7050
b,0.02537604607641697,0.0,7100
b,0.023518208414316177,0.0,7150
b,0.026847010478377342,0.0,7200
b,0.0224303025752306,0.0,7250
b,0.02284841611981392,0.0,7300
b,0.022298526018857956,0.0,7350
b,0.023714492097496986,0.0,7400
b,0.02408866211771965,0.0,7450
b,0.026095740497112274,0.0,7500
b,0.025508394464850426,0.0,7550
b,0.021683895960450172,0.0,7600
b,0.02179747447371483,0.0,7650
b,0.021027367562055588,0.0,7700
b,0.020327484235167503,0.0,7750
b,0.021269286051392555,0.0,7800
b,0.02188808098435402,0.0,7850
b,0.021604377776384354,0.0,7900
b,0.022323831915855408,0.0,7950
b,0.01973782107234001,0.0,8000
b,0.02160532772541046,0.0,8050
b,0.021184036508202553,0.0,8100
b,0.02134028449654579,0.0,8150
b,0.023453136906027794,0.0,8200
b,0.021756043657660484,0.0,8250
b,0.022663209587335587,0.0,8300
b,0.020543748512864113,0.0,8350
b,0.01949741318821907,0.0,8400
b,0.02148052491247654,0.0,8450
b,0.021930208429694176,0.0,8500
b,0.01988697238266468,0.0,8550
b,0.01905015856027603,0.0,8600
b,0.01960562914609909,0.0,8650
b,0.01940198428928852,0.0,8700
b,0.01943364553153515,0.0,8750
b,0.022104211151599884,0.0,8800
b,0.019339412450790405,0.0,8850
b,0.019316814839839935,0.0,8900
b,0.020681895315647125,0.0,8950
b,0.021952956914901733,0.0,9000
b,0.019525721669197083,0.0,9050
b,0.019451579079031944,0.0,9100
b,0.020541446283459663,0.0,9150
b,0.019566098228096962,0.0,9200
b,0.019561005756258965,0.0,9250
b,0.021278873085975647,0.0,9300
b,0.02068249136209488,0.0,9350
b,0.01984533853828907,0.0,9400
b,0.020986679941415787,0.0,9450
b,0.02101808600127697,0.0,9500
b,0.0212045107036829,0.0,9550
b,0.0217219740152359,0.0,9600
b,0.02138829603791237,0.0,9650
b,0.020999085158109665,0.0,9700
b,0.02044706605374813,0.0,9750
b,0.02019067108631134,0.0,9800
b,0.01970006339251995,0.0,9850
b,0.020888758823275566,0.0,9900
b,0.02056225948035717,0.0,9950
b,0.02152981236577034,0.0,10000
f,30.151803970336914,0.0,5050
f,20.09109115600586,0.0,5100
f,17.648834228515625,0.0,5150
f,9.01346492767334,0.0,5200
f,6.135064601898193,0.0,5250
f,1.7305634021759033,0.0,5300
f,1.664457082748413,0.0,5350
f,0.9653419852256775,0.0,5400
f,1.2382290363311768,0.0,5450
f,1.985896110534668,0.0,5500
f,0.7387208938598633,0.0,5550
f,0.33726274967193604,0.0,5600
f,0.3579632341861725,0.0,5650
f,0.3218132555484772,0.0,5700
f,0.19025146961212158,0.0,5750
f,0.20399172604084015,0.0,5800
f,0.20905211567878723,0.0,5850
f,0.18825653195381165,0.0,5900
f,0.26326805353164673,0.0,5950
f,0.1332477182149887,0.0,6000
f,0.14833030104637146,0.0,6050
f,0.12395768612623215,0.0,6100
f,0.06043378263711929,0.0,6150
f,0.09059200435876846,0.0,6200
f,0.07644379138946533,0.0,6250
f,0.20720119774341583,0.0,6300
f,0.054515961557626724,0.0,6350
f,0.048639774322509766,0.0,6400
f,0.04422890767455101,0.0,6450
f,0.047378379851579666,0.0,6500
f,0.06843941658735275,0.0,6550
f,0.04182733967900276,0.0,6600
f,0.03746519982814789,0.0,6650
f,0.057751648128032684,0.0,6700
f,0.03311895206570625,0.0,6750
f,0.0400744304060936,0.0,6800
f,0.07784533500671387,0.0,6850
